"","Species","Trophic_level"
"691","Helianthemum apenninum","Plant"
"692","Prunus mahaleb","Plant"
"693","Aphyllanthes monspeliensis","Plant"
"694","Ornithogalum umbellatum","Plant"
"695","Biscutella laevigata","Plant"
"696","Orchis simia","Plant"
"697","Polygala calcarea","Plant"
"698","Trinia glauca","Plant"
"699","Hippocrepis comosa","Plant"
"700","Medicago minima","Plant"
"701","Linum suffruticosum","Plant"
"702","Rhinanthus pumilus","Plant"
"703","Helianthemum oelandicum","Plant"
"704","Anthyllis montana","Plant"
"705","Leucanthemum graminifolium","Plant"
"706","Lactuca perennis","Plant"
"707","Anthericum liliago","Plant"
"708","Euphorbia exigua","Plant"
"709","Euphorbia nicaeensis","Plant"
"710","Teucrium rouyanum","Plant"
"711","Thymus dolomiticus","Plant"
"712","Carduus nigrescens","Plant"
"713","Pentanema montanum","Plant"
"714","Onobrychis supina","Plant"
"715","Blackstonia perfoliata","Plant"
"716","Petrosedum ochroleucum","Plant"
"717","Fumana procumbens","Plant"
"718","Teucrium botrys","Plant"
"719","Centaurea pectinata","Plant"
"720","Convolvulus cantabrica","Plant"
"721","Coronilla minima","Plant"
"722","Cherleria capillacea","Plant"
"723","Linum narbonense","Plant"
"724","Centaurium pulchellum","Plant"
"725","Teucrium montanum","Plant"
"726","Spiranthes spiralis","Plant"
"727","Seseli montanum","Plant"
"728","Prospero autumnale","Plant"
"729","Ophrys sphegodes","Plant"
"730","Euphorbia esula","Plant"
"731","Pulsatilla vulgaris","Plant"
"732","Orobanche gracilis","Plant"
"733","Orchis purpurea","Plant"
"734","Epipactis atrorubens","Plant"
"735","Galium pusillum","Plant"
"736","Himantoglossum hircinum","Plant"
"737","Linum catharticum","Plant"
"738","Anthericum ramosum","Plant"
"739","Ononis natrix","Plant"
"740","Allium sphaerocephalon","Plant"
"741","Bupleurum falcatum","Plant"
"742","Cynanchica pyrenaica","Plant"
"743","Seseli libanotis","Plant"
"744","Ononis pusilla","Plant"
"745","Linum tenuifolium","Plant"
"746","Arabis hirsuta","Plant"
"747","Thesium divaricatum","Plant"
"748","Orobanche minor","Plant"
"749","Thesium humifusum","Plant"
"750","Galatella linosyris","Plant"
"751","Brassica repanda","Plant"
"752","Muscari neglectum","Plant"
"753","Reseda phyteuma","Plant"
"754","Torilis japonica","Plant"
"755","Acer campestre","Plant"
"756","Orchis mascula","Plant"
"757","Ajuga genevensis","Plant"
"758","Onosma tricerosperma","Plant"
"759","Fumana ericoides","Plant"
"760","Armeria arenaria","Plant"
"761","Ononis striata","Plant"
"762","Arenaria aggregata","Plant"
"763","Euphrasia salisburgensis","Plant"
